Tuesday,22,October,2019,10:11:41:63530-VCID:3A38F31575A7B39F97-806E,VCDS Version: Release 19.6.1 (x64),Data version: 20190529 DS308.0
07K 906 032 T,,2.5l R5/4V      G   9653,

,Group A:,'001,,,,Group B:,'026,,,,Group C:,'006
,,Engine Speed,Coolant,Lambda,Basic Setting,,Voltage Cyl. 1,Voltage Cyl. 2,Voltage Cyl. 3,Voltage Cyl. 4,,Engine Speed,Engine Load,Intake Air,Heights Correction
,TIME,,Temperature,Controller,Requirements,TIME,Knock Sensor,Knock Sensor,Knock Sensor,Knock Sensor,TIME,,,Temperature,Factor
Marker,STAMP, /min,°C, %,,STAMP, V, V, V, V,STAMP, /min, %,°C, %
,0.10,640,86.0,1.6,10111111,0.20,0.234,0.234,0.234,0.234,0.03,640,12.8,61.0,-1.6
,0.42,640,86.0,1.6,10111111,0.53,0.234,0.234,0.234,0.351,0.31,640,12.8,61.0,-1.6
,0.75,640,86.0,0.8,10111111,0.86,0.234,0.234,0.234,0.351,0.65,680,12.8,61.0,-1.6
,1.07,640,86.0,0.8,10111111,1.17,0.234,0.234,0.234,0.351,0.97,680,12.8,61.0,-1.6
,1.39,640,86.0,1.6,10111111,1.50,0.234,0.234,0.234,0.351,1.28,640,12.8,61.0,-1.6
,1.71,640,86.0,0.8,10111111,1.82,0.234,0.234,0.234,0.351,1.62,640,12.8,61.0,-1.6
,2.04,640,86.0,0.8,10111111,2.14,0.234,0.234,0.234,0.351,1.94,680,12.8,61.0,-1.6
,2.36,640,86.0,0.8,10111111,2.47,0.234,0.234,0.234,0.351,2.25,640,12.8,61.0,-1.6
,2.71,680,86.0,1.6,10101011,2.81,0.234,0.234,0.234,0.351,2.59,640,12.8,61.0,-1.6
,3.03,880,86.0,1.6,10101011,3.14,0.234,0.234,0.234,0.351,2.92,800,16.5,61.0,-1.6
,3.36,1120,86.0,2.3,10101011,3.47,0.234,0.234,0.234,0.234,3.26,1040,16.5,61.0,-1.6
,3.69,1280,86.0,1.6,10101011,3.80,0.234,0.234,0.234,0.234,3.59,1240,15.0,61.0,-1.6
,4.01,1400,86.0,0.8,10101011,4.11,0.234,0.234,0.351,0.351,3.90,1360,13.5,61.0,-1.6
,4.33,1520,86.0,0.8,10101011,4.44,0.234,0.351,0.351,0.351,4.22,1480,13.5,61.0,-1.6
,4.65,1640,86.0,4.7,10101011,4.77,0.351,0.351,0.351,0.585,4.55,1600,13.5,62.0,-1.6
,4.99,1760,86.0,6.3,10101011,5.09,0.351,0.702,0.468,0.819,4.88,1720,14.3,62.0,-1.6
,5.32,1880,86.0,6.3,10101011,5.42,0.468,0.936,0.702,0.936,5.20,1840,14.3,62.0,-1.6
,5.66,2000,86.0,6.3,10101001,5.77,0.468,0.819,0.819,1.053,5.54,1960,14.3,62.0,-1.6
,5.99,2160,86.0,7.0,10101001,6.09,0.585,1.287,0.936,0.936,5.88,2120,13.5,62.0,-1.6
,6.30,2280,86.0,7.0,10101001,6.41,0.585,1.170,0.819,0.936,6.19,2240,14.3,62.0,-1.6
,6.63,2400,86.0,7.8,10101001,6.74,0.702,0.936,0.819,0.936,6.52,2320,14.3,62.0,-1.6
,6.96,2520,86.0,7.8,10101001,7.06,0.702,0.936,0.936,1.053,6.85,2480,14.3,62.0,-1.6
,7.28,2600,86.0,7.8,10101001,7.40,0.819,0.936,1.170,1.170,7.18,2600,15.0,62.0,-1.6
,7.62,2720,86.0,7.8,10101001,7.73,1.053,0.936,1.287,1.287,7.51,2680,15.0,62.0,-1.6
,7.94,2800,86.0,3.1,10101001,8.05,1.170,1.053,1.404,1.404,7.83,2800,15.0,62.0,-1.6
,8.27,2920,86.0,2.3,10101001,8.37,1.521,1.170,1.404,1.404,8.16,2880,15.0,63.0,-1.6
,8.59,2960,86.0,2.3,10101001,8.69,1.755,1.170,1.404,1.638,8.48,2960,14.3,63.0,-1.6
,8.91,3040,86.0,3.1,10101001,9.01,1.755,1.287,1.521,1.755,8.80,3040,15.0,63.0,-1.6
,9.23,3120,86.0,2.3,10101001,9.33,1.872,1.287,1.638,1.755,9.13,3120,15.0,63.0,-1.6
,9.55,3240,86.0,6.3,10101001,9.66,1.989,1.521,1.872,1.872,9.44,3200,15.8,63.0,-1.6
,9.88,3400,86.0,6.3,10101001,9.99,2.340,1.638,2.457,2.574,9.77,3320,16.5,63.0,-1.6
,10.19,3520,86.0,1.6,10101001,10.31,3.042,1.872,3.042,3.276,10.09,3480,17.3,63.0,-1.6
,10.52,3680,86.0,0.0,10101001,10.63,3.276,2.106,3.276,3.159,10.41,3640,17.3,63.0,-1.6
,10.85,3760,86.0,-0.8,10101001,10.95,3.042,2.574,3.042,3.393,10.74,3760,17.3,63.0,-1.6
,11.16,3880,86.0,-1.6,10101001,11.27,3.042,2.574,3.393,3.393,11.05,3840,17.3,63.0,-1.6
,11.47,4000,86.0,-2.3,10101001,11.59,3.744,2.808,3.159,3.042,11.36,3960,18.8,63.0,-1.6
,11.80,4160,86.0,-3.1,10101001,11.89,3.744,2.925,3.510,3.276,11.68,4120,18.8,63.0,-1.6
,12.12,4280,86.0,-3.9,10101001,12.22,4.212,3.744,3.393,3.744,12.00,4240,18.8,63.0,-1.6
,12.42,4440,86.0,-3.9,10101001,12.54,3.510,4.329,3.627,3.978,12.33,4360,18.8,63.0,-1.6
,12.75,4520,86.0,-4.7,10101001,12.86,3.861,4.329,4.212,4.212,12.64,4480,18.0,63.0,-1.6
