#hndoc:?docid=0000583A&xt=hnh:0171CF57B4FEF98F0C9C55D3AC0257EA5BF6A8F79AFA6E92DF5BA854E78076C8
Thu,Jan,09,2020,10:45:15 -VCID:3A3791EB25408951665624-806F,VCDS Mobile: 0.4517
07K 906 032 T,ADVMB,2.5l R5/4V      G    9653,
,,G002,F0,G002,F1,G002,F3,G004,F1,G011,F1,G011,F2,G015,F0,G015,F1,G015,F2,G016,F0,G016,F1,G043,F1,

Marker,TIME,Group 2 - Field 0,TIME,Group 2 - Field 1,TIME,Group 2 - Field 3,TIME,Group 4 - Field 1,TIME,Group 11 - Field 1,TIME,Group 11 - Field 2,TIME,Group 15 - Field 0,TIME,Group 15 - Field 1,TIME,Group 15 - Field 2,TIME,Group 16 - Field 0,TIME,Group 16 - Field 1,TIME,Group 43 - Field 1,
,STAMP,Engine Speed,STAMP,Engine Load ,STAMP,Intake Air Mass,STAMP,Voltage Supply,STAMP,Coolant Temperature,STAMP,Intake Air Temperature,STAMP,Cylinder 1 ,STAMP,Cylinder 2 ,STAMP,Cylinder 3 ,STAMP,Cylinder 4 ,STAMP,Cylinder 5 ,STAMP,Catalytic Converter Temperature,
,, /min,, %,, g/s,, V,,°C,,°C,,,,,,,,,,,,°C,,,
,1.05,680,1.05,13.5,1.05,2.56,1.26,14.210,1.46,74.0°C,1.46,42.0°C,1.66,4,1.66,0,1.66,0,1.87,0,1.87,0,0.85,174.0°C,
,2.28,1600,2.28,18.0,2.28,8.06,2.48,14.280,2.69,74.0°C,2.69,42.0°C,2.89,4,2.89,0,2.89,0,3.10,0,3.10,0,2.07,180.0°C,
,3.51,2160,3.51,15.0,3.51,9.14,3.71,14.350,3.92,74.0°C,3.92,42.0°C,4.12,4,4.12,0,4.12,0,4.33,0,4.33,0,3.32,186.0°C,
,4.74,2720,4.74,15.8,4.74,12.11,4.94,14.350,5.15,74.0°C,5.15,43.0°C,5.36,4,5.36,0,5.36,0,5.56,0,5.56,0,4.54,186.0°C,
,5.97,3160,5.97,15.8,5.97,13.86,6.18,14.350,6.38,74.0°C,6.38,43.0°C,6.59,4,6.59,0,6.59,0,6.79,0,6.79,0,5.77,192.0°C,
,7.20,3480,7.20,16.5,7.20,15.86,7.41,14.210,7.61,74.0°C,7.61,44.0°C,7.82,4,7.82,0,7.82,0,8.02,0,8.02,0,7.00,198.0°C,
,8.43,3760,8.43,21.1,8.43,21.81,8.64,14.350,8.84,74.0°C,8.84,45.0°C,9.05,4,9.05,0,9.05,0,9.27,0,9.27,0,8.23,204.0°C,
,9.66,4280,9.66,18.8,9.66,22.33,9.87,14.350,10.07,74.0°C,10.08,45.0°C,10.29,4,10.30,0,10.30,0,10.48,0,10.48,0,9.46,210.0°C,
