Tuesday,10,September,2019,10:44:15:65308-VCID:3A38F3A875A0859F97-806E,VCDS Version: Release 19.6.1 (x64),Data version: 20190529 DS308.0
07K 906 032 T,,2.5l R5/4V      G   9653,

,Group A:,'001,,,,Group B:, Not Running,,,,Group C:, Not Running
,,Engine Speed,Coolant,Lambda,Basic Setting,,,,,,,,,,
,TIME,,Temperature,Controller,Requirements,TIME,,,,,TIME,,,,
Marker,STAMP, /min,°C, %,,STAMP,,,,,STAMP,,,,
,0.07,680,84.0,1.6,00111111,,,,,,,,,,
,0.22,680,84.0,1.6,00111111,,,,,,,,,,
,0.38,680,84.0,1.6,00111111,,,,,,,,,,
,0.53,680,84.0,1.6,00111111,,,,,,,,,,
,0.67,680,84.0,1.6,00111111,,,,,,,,,,
,0.81,640,84.0,1.6,00111111,,,,,,,,,,
,0.95,640,84.0,1.6,00111111,,,,,,,,,,
,1.11,640,84.0,1.6,00111111,,,,,,,,,,
,1.27,680,84.0,1.6,00111111,,,,,,,,,,
,1.42,680,84.0,1.6,00111111,,,,,,,,,,
,1.56,680,84.0,1.6,00101111,,,,,,,,,,
,1.70,720,84.0,1.6,00101011,,,,,,,,,,
,1.85,960,84.0,0.8,00101011,,,,,,,,,,
,2.00,1280,84.0,-4.7,00101011,,,,,,,,,,
,2.16,1760,84.0,-5.5,00101011,,,,,,,,,,
,2.31,2400,84.0,-3.9,00101001,,,,,,,,,,
,2.45,3000,84.0,-3.1,00101001,,,,,,,,,,
,2.60,3600,84.0,-3.1,00101001,,,,,,,,,,
,2.75,4200,84.0,-3.1,00101001,,,,,,,,,,
,2.91,4000,84.0,0.0,00110001,,,,,,,,,,
,3.07,3720,84.0,0.0,00110001,,,,,,,,,,
,3.22,3400,84.0,0.0,00110001,,,,,,,,,,
,3.37,3120,84.0,0.0,00110001,,,,,,,,,,
,3.51,2920,84.0,0.0,00110001,,,,,,,,,,
,3.66,2640,84.0,0.0,00110001,,,,,,,,,,
,3.81,2440,84.0,0.0,00110001,,,,,,,,,,
,3.97,2200,84.0,0.0,00110001,,,,,,,,,,
,4.12,2000,84.0,0.0,00110001,,,,,,,,,,
,4.26,1800,84.0,0.0,00110011,,,,,,,,,,
,4.41,1600,84.0,0.0,00110011,,,,,,,,,,
,4.56,1440,84.0,0.0,00110011,,,,,,,,,,
,4.72,1320,84.0,0.0,00110011,,,,,,,,,,
,4.87,1240,84.0,0.0,00110011,,,,,,,,,,
,5.02,1160,84.0,0.0,00110011,,,,,,,,,,
,5.17,1080,84.0,0.0,00110011,,,,,,,,,,
,5.33,1000,84.0,0.0,00110011,,,,,,,,,,
,5.48,920,84.0,0.0,00110011,,,,,,,,,,
,5.62,880,84.0,0.0,00110111,,,,,,,,,,
,5.77,800,84.0,0.0,00110111,,,,,,,,,,
,5.92,760,84.0,0.0,00110111,,,,,,,,,,
,6.08,720,84.0,0.0,00110111,,,,,,,,,,
,6.23,720,84.0,0.0,00110111,,,,,,,,,,
,6.38,680,84.0,0.0,00110111,,,,,,,,,,
,6.53,680,84.0,0.0,00110111,,,,,,,,,,
,6.67,680,84.0,0.0,00110111,,,,,,,,,,
,6.83,680,84.0,0.0,00110111,,,,,,,,,,
,6.99,680,84.0,0.0,00110111,,,,,,,,,,
,7.14,680,84.0,0.0,00111111,,,,,,,,,,
,7.30,680,84.0,1.6,00111111,,,,,,,,,,
,7.45,680,84.0,3.1,00111111,,,,,,,,,,
,7.59,680,84.0,3.9,00111111,,,,,,,,,,
,7.73,680,84.0,4.7,00111111,,,,,,,,,,
,7.88,680,84.0,3.9,00111111,,,,,,,,,,
,8.04,680,84.0,3.9,00111111,,,,,,,,,,
,8.19,680,84.0,3.1,00111111,,,,,,,,,,
,8.34,680,84.0,2.3,00111111,,,,,,,,,,
,8.49,680,84.0,2.3,00111111,,,,,,,,,,
,8.64,680,84.0,1.6,00111111,,,,,,,,,,
,8.80,640,84.0,1.6,00111111,,,,,,,,,,
,8.96,640,84.0,0.8,00101111,,,,,,,,,,
,9.11,720,84.0,0.8,00101011,,,,,,,,,,
,9.27,840,84.0,0.8,00101011,,,,,,,,,,
,9.42,1000,84.0,1.6,00101011,,,,,,,,,,
,9.56,1120,84.0,1.6,00101011,,,,,,,,,,
,9.71,1280,84.0,2.3,00101011,,,,,,,,,,
,9.86,1480,84.0,2.3,00101011,,,,,,,,,,
,10.02,1760,84.0,3.9,00101011,,,,,,,,,,
,10.17,2040,84.0,5.5,00101001,,,,,,,,,,
,10.31,2280,84.0,6.3,00101001,,,,,,,,,,
,10.46,2520,84.0,5.5,00101001,,,,,,,,,,
,10.61,2760,84.0,4.7,00101001,,,,,,,,,,
,10.77,2960,84.0,3.9,00101001,,,,,,,,,,
,10.92,3200,84.0,4.7,00101001,,,,,,,,,,
,11.07,3480,84.0,3.9,00101001,,,,,,,,,,
,11.22,3760,84.0,3.1,00101001,,,,,,,,,,
,11.38,4080,84.0,2.3,00101001,,,,,,,,,,
,11.53,4360,84.0,1.6,00101001,,,,,,,,,,
,11.69,4600,84.0,0.8,00101001,,,,,,,,,,
,11.85,4840,84.0,0.0,00101001,,,,,,,,,,
,12.00,5000,84.0,0.0,00101001,,,,,,,,,,
,12.16,4720,84.0,0.0,00110001,,,,,,,,,,
,12.31,4400,84.0,0.0,00110001,,,,,,,,,,
,12.47,4080,84.0,0.0,00110001,,,,,,,,,,
,12.62,3800,84.0,0.0,00110001,,,,,,,,,,
,12.77,3520,84.0,0.0,00110001,,,,,,,,,,
,12.93,3200,84.0,0.0,00110001,,,,,,,,,,
,13.08,2960,84.0,0.0,00110001,,,,,,,,,,
,13.22,2720,84.0,0.0,00110001,,,,,,,,,,
,13.37,2520,84.0,0.0,00110001,,,,,,,,,,
,13.51,2280,84.0,0.0,00110001,,,,,,,,,,
,13.67,2040,84.0,0.0,00110001,,,,,,,,,,
,13.82,1840,84.0,0.0,00110011,,,,,,,,,,
,13.96,1680,84.0,0.0,00110011,,,,,,,,,,
,14.11,1480,84.0,0.0,00110011,,,,,,,,,,
,14.26,1320,84.0,0.0,00110011,,,,,,,,,,
,14.42,1280,84.0,0.0,00110011,,,,,,,,,,
,14.57,1200,84.0,0.0,00110011,,,,,,,,,,
,14.71,1080,84.0,0.0,00110011,,,,,,,,,,
,14.85,1040,84.0,0.0,00110011,,,,,,,,,,
,15.00,960,84.0,0.0,00110011,,,,,,,,,,
,15.15,880,83.0,0.0,00110011,,,,,,,,,,
,15.29,840,83.0,0.0,00110011,,,,,,,,,,
,15.43,760,84.0,0.0,00110111,,,,,,,,,,
,15.57,760,83.0,0.0,00110111,,,,,,,,,,
,15.72,760,83.0,0.0,00110111,,,,,,,,,,
,15.87,720,83.0,0.0,00110111,,,,,,,,,,
,16.03,680,83.0,0.0,00110111,,,,,,,,,,
,16.18,680,83.0,0.0,00110111,,,,,,,,,,
,16.33,640,83.0,0.0,00110111,,,,,,,,,,
,16.48,640,83.0,0.0,00110111,,,,,,,,,,
,16.64,640,83.0,0.0,00110111,,,,,,,,,,
,16.79,680,83.0,0.0,00111111,,,,,,,,,,
,16.93,680,83.0,1.6,00111111,,,,,,,,,,
,17.09,680,83.0,2.3,00111111,,,,,,,,,,
,17.25,680,83.0,3.1,00111111,,,,,,,,,,
,17.40,680,83.0,3.1,00111111,,,,,,,,,,
,17.54,680,83.0,2.3,00111111,,,,,,,,,,
,17.68,680,83.0,2.3,00111111,,,,,,,,,,
,17.83,680,83.0,2.3,00111111,,,,,,,,,,
,17.98,680,83.0,1.6,00111111,,,,,,,,,,
,18.15,680,83.0,1.6,00111111,,,,,,,,,,
,18.29,640,83.0,1.6,00111111,,,,,,,,,,
,18.43,680,83.0,0.8,00101011,,,,,,,,,,
,18.58,760,83.0,0.8,00101011,,,,,,,,,,
,18.73,1000,83.0,0.8,00101011,,,,,,,,,,
,18.89,1320,83.0,0.8,00101011,,,,,,,,,,
,19.04,1720,83.0,0.8,00101011,,,,,,,,,,
,19.19,2000,83.0,1.6,00111101,,,,,,,,,,
,19.34,1880,82.0,1.6,00111011,,,,,,,,,,
,19.50,1760,82.0,3.1,00111011,,,,,,,,,,
,19.65,1680,83.0,4.7,00111011,,,,,,,,,,
,19.79,1640,82.0,3.9,00111011,,,,,,,,,,
,19.94,1560,82.0,3.1,00111011,,,,,,,,,,
,20.10,1480,82.0,3.1,00111011,,,,,,,,,,
,20.25,1360,82.0,2.3,00111011,,,,,,,,,,
,20.40,1280,82.0,1.6,00111011,,,,,,,,,,
,20.55,1160,82.0,0.8,00111011,,,,,,,,,,
,20.70,1040,82.0,0.8,00111011,,,,,,,,,,
,20.86,960,82.0,1.6,00111011,,,,,,,,,,
,21.01,920,82.0,3.1,00111011,,,,,,,,,,
,21.15,840,82.0,3.9,00111011,,,,,,,,,,
,21.30,800,82.0,3.9,00111111,,,,,,,,,,
,21.45,760,82.0,3.9,00111111,,,,,,,,,,
,21.61,720,82.0,3.1,00111111,,,,,,,,,,
,21.76,720,82.0,3.1,00111111,,,,,,,,,,
,21.90,720,82.0,3.1,00111111,,,,,,,,,,
,22.05,720,82.0,2.3,00111111,,,,,,,,,,
,22.20,720,82.0,1.6,00111111,,,,,,,,,,
,22.36,680,82.0,1.6,00111111,,,,,,,,,,
,22.51,680,82.0,0.8,00111111,,,,,,,,,,
,22.65,680,82.0,0.8,00111111,,,,,,,,,,
,22.80,680,82.0,0.8,00111111,,,,,,,,,,
,22.95,680,82.0,0.8,00111111,,,,,,,,,,
,23.12,640,82.0,1.6,00101111,,,,,,,,,,
,23.27,720,82.0,1.6,00101011,,,,,,,,,,
,23.42,1000,82.0,0.8,00101011,,,,,,,,,,
,23.58,1800,82.0,-3.9,00101011,,,,,,,,,,
,23.73,2600,82.0,-0.8,00101001,,,,,,,,,,
,23.87,2720,82.0,0.0,00110101,,,,,,,,,,
,24.02,2480,82.0,0.0,00110001,,,,,,,,,,
,24.17,2240,82.0,0.0,00110001,,,,,,,,,,
,24.33,2040,82.0,0.0,00110001,,,,,,,,,,
