Thursday,29,August,2019,10:11:34:65308-VCID:3A38F3A875A0859F97-806E,VCDS Version: Release 19.6.1 (x64),Data version: 20190529 DS308.0
07K 906 032 T,ADVMB,2.5l R5/4V      G   9653,
,,G001,F0,G001,F2,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Group 1 - Field 0,TIME,Group 1 - Field 2,,,,,,,,,,,,,,,,,,,,,
,STAMP,Engine Speed,STAMP,Lambda - Controller,,,,,,,,,,,,,,,,,,,,,
,, /min,, %,,,,,,,,,,,,,,,,,,,,,
,0.08,680,0.08,0.0,,,,,,,,,,,,,,,,,,,,,
,0.18,680,0.18,0.0,,,,,,,,,,,,,,,,,,,,,
,0.29,680,0.29,0.0,,,,,,,,,,,,,,,,,,,,,
,0.41,640,0.41,0.0,,,,,,,,,,,,,,,,,,,,,
,0.52,640,0.52,0.0,,,,,,,,,,,,,,,,,,,,,
,0.62,640,0.62,0.0,,,,,,,,,,,,,,,,,,,,,
,0.73,640,0.73,0.0,,,,,,,,,,,,,,,,,,,,,
,0.84,640,0.84,0.0,,,,,,,,,,,,,,,,,,,,,
,0.96,640,0.96,0.8,,,,,,,,,,,,,,,,,,,,,
,1.06,640,1.06,0.8,,,,,,,,,,,,,,,,,,,,,
,1.17,640,1.17,0.0,,,,,,,,,,,,,,,,,,,,,
,1.27,640,1.27,0.0,,,,,,,,,,,,,,,,,,,,,
,1.37,640,1.37,0.0,,,,,,,,,,,,,,,,,,,,,
,1.48,640,1.48,0.0,,,,,,,,,,,,,,,,,,,,,
,1.59,640,1.59,0.0,,,,,,,,,,,,,,,,,,,,,
,1.70,640,1.70,0.0,,,,,,,,,,,,,,,,,,,,,
,1.81,640,1.81,0.0,,,,,,,,,,,,,,,,,,,,,
,1.92,640,1.92,0.0,,,,,,,,,,,,,,,,,,,,,
,2.02,640,2.02,0.0,,,,,,,,,,,,,,,,,,,,,
,2.12,680,2.12,0.0,,,,,,,,,,,,,,,,,,,,,
,2.23,720,2.23,0.0,,,,,,,,,,,,,,,,,,,,,
,2.34,1040,2.34,-0.8,,,,,,,,,,,,,,,,,,,,,
,2.45,1520,2.45,-3.9,,,,,,,,,,,,,,,,,,,,,
,2.55,2040,2.55,-3.9,,,,,,,,,,,,,,,,,,,,,
,2.65,2600,2.65,-2.3,,,,,,,,,,,,,,,,,,,,,
,2.77,2840,2.77,0.0,,,,,,,,,,,,,,,,,,,,,
,2.87,2720,2.87,0.0,,,,,,,,,,,,,,,,,,,,,
,2.98,2560,2.98,0.0,,,,,,,,,,,,,,,,,,,,,
,3.09,2400,3.09,0.0,,,,,,,,,,,,,,,,,,,,,
,3.20,2240,3.20,0.0,,,,,,,,,,,,,,,,,,,,,
,3.31,2080,3.31,0.0,,,,,,,,,,,,,,,,,,,,,
,3.41,1960,3.41,0.0,,,,,,,,,,,,,,,,,,,,,
,3.51,2000,3.51,0.0,,,,,,,,,,,,,,,,,,,,,
,3.62,2320,3.62,0.0,,,,,,,,,,,,,,,,,,,,,
,3.73,2640,3.73,0.0,,,,,,,,,,,,,,,,,,,,,
,3.84,2520,3.84,0.0,,,,,,,,,,,,,,,,,,,,,
,3.95,2360,3.95,0.0,,,,,,,,,,,,,,,,,,,,,
,4.06,2200,4.06,0.0,,,,,,,,,,,,,,,,,,,,,
,4.17,2080,4.17,0.0,,,,,,,,,,,,,,,,,,,,,
,4.28,1920,4.28,0.0,,,,,,,,,,,,,,,,,,,,,
,4.39,1800,4.39,0.0,,,,,,,,,,,,,,,,,,,,,
,4.50,1640,4.50,0.0,,,,,,,,,,,,,,,,,,,,,
,4.61,1520,4.61,0.0,,,,,,,,,,,,,,,,,,,,,
,4.71,1440,4.71,0.0,,,,,,,,,,,,,,,,,,,,,
,4.81,1360,4.81,0.0,,,,,,,,,,,,,,,,,,,,,
,4.92,1320,4.92,0.0,,,,,,,,,,,,,,,,,,,,,
,5.03,1240,5.03,0.0,,,,,,,,,,,,,,,,,,,,,
,5.13,1160,5.13,0.0,,,,,,,,,,,,,,,,,,,,,
,5.24,1120,5.24,0.0,,,,,,,,,,,,,,,,,,,,,
,5.34,1040,5.34,0.0,,,,,,,,,,,,,,,,,,,,,
,5.45,960,5.45,0.0,,,,,,,,,,,,,,,,,,,,,
,5.56,960,5.56,0.0,,,,,,,,,,,,,,,,,,,,,
,5.67,880,5.67,0.0,,,,,,,,,,,,,,,,,,,,,
,5.78,880,5.78,0.0,,,,,,,,,,,,,,,,,,,,,
,5.90,840,5.90,0.0,,,,,,,,,,,,,,,,,,,,,
,6.02,840,6.02,0.0,,,,,,,,,,,,,,,,,,,,,
,6.13,800,6.13,0.0,,,,,,,,,,,,,,,,,,,,,
